cluster,language,policy_group,intercept,trend_before,level_change,slope_change,p_level,p_slope,r_squared
0,Jupyter Notebook,Not Mention,0.018807993674061427,0.0012137933025581599,-0.00771885906309799,-0.0014355596485713103,0.667460991716913,0.02465325025847966,0.271210340489185
0,HTML,Not Mention,0.028448742693877316,-0.0002902153466152914,-0.002355284424414893,0.0004217759517989605,0.8017685331159015,0.20299494248991565,0.0898244362767473
1,TypeScript,LLM_Positive,-0.01106396834207827,0.00034930204070381696,0.037448798431939295,-0.0003322870156530684,9.347446553563663e-05,0.3307686104610629,0.5458664806164883
1,JavaScript,LLM_Positive,0.04480894137042368,0.0005296475416592127,-0.07771657502906246,-0.0011964906537481432,0.004773265355720938,0.22779942172234305,0.1255821395856377
1,Python,LLM_Positive,0.03450501035317605,7.95853882880127e-05,0.0430289976551114,0.005906118590601868,0.04553596152222442,1.355960901401859e-12,0.6325592301782781
1,C,LLM_Positive,-0.0062365615822871645,0.00016889461241945917,0.0022815827976761217,-0.0004435922216247804,0.7145826815753129,0.05153435158588431,0.15036684283140023
1,Java,LLM_Positive,0.22723924774627052,-0.00022088537358698127,-0.0797569199582848,-0.002927981062734946,0.09401495897804558,0.09072758140637106,0.21073375518950122
1,TypeScript,LLM_Negative,0.03716366181034826,-0.0005113666910957567,0.022755490159290924,-0.0001296586294172263,0.29282246974262577,0.8772970830325171,0.04740724460165924
1,JavaScript,LLM_Negative,-0.023666199897405937,0.0009136208483976947,-0.053991572216398165,-0.0009136208483976908,0.005098689603966461,0.21708045355914196,0.1419736262699619
1,Python,LLM_Negative,0.006703143023257494,-1.9542691029905288e-05,-0.005042014285715549,1.9542691029905647e-05,0.6118254564983979,0.9596614724511342,0.011616116752293792
1,C,LLM_Negative,0.0,0.0,0.0,0.0,,,
1,Java,LLM_Negative,0.0,0.0,0.0,0.0,,,
1,TypeScript,Not Mention,-0.018291314641998433,0.0012007612125805342,0.010004737259450171,-0.00034578139265155924,0.5954319075901289,0.6145114565859375,0.6120328377582755
1,JavaScript,Not Mention,0.0479013579200928,0.0013178149395896767,-0.16325591199981976,-0.0019858507425558718,1.1571732289967051e-05,0.13436878574192565,0.24761159016217316
1,Python,Not Mention,0.027166731246136958,0.0006676051396184031,-0.0356318024602306,-0.0014082758682560836,0.10658012167344189,0.08024079033829387,0.14626383587110536
1,C,Not Mention,0.03627816165952467,-0.0001329679574924375,-0.0022713316029045337,0.00017804814269713754,0.8906772330316717,0.76749256960465,0.021276137280963336
1,Java,Not Mention,0.12140999148371749,-0.0006281409920796059,0.004588196814528318,0.0001212245406879613,0.8894913369338425,0.9197501398508448,0.1086289942306391
2,JavaScript,LLM_Positive,-0.03462940325144501,0.0035977249472027633,-0.30646294254226214,-0.006890271887869289,2.996656503371603e-08,0.0004832429240693074,0.4393062083673127
2,HTML,LLM_Positive,0.055557877233191263,0.0002780412495967877,-0.10956244865057674,0.003907190247653031,0.009623685018748551,0.011970166299262315,0.05078025559703503
2,CSS,LLM_Positive,0.0278125693775409,-0.0002586636663065962,0.0042617252444770715,0.00025866366630659585,0.8062330844557943,0.6855525842497978,0.03709936736021002
2,TypeScript,LLM_Positive,-0.06861647225137349,0.003717017743486622,0.36685793674607975,-0.018067549632922158,1.150419685490558e-07,5.785468077071603e-12,0.5289743901912551
2,SCSS,LLM_Positive,0.0,0.0,0.0,0.0,,,
2,JavaScript,LLM_Negative,0.03499298987873321,-1.388709672743344e-05,0.030074157558705787,-3.3017476442885645e-05,0.3473403048356468,0.9786715611239489,0.01949470416175314
2,HTML,LLM_Negative,0.013200280097450164,0.00019168659027905065,-0.03601098434065722,-0.00019168659027904723,0.13030392806533642,0.8343415918307391,0.03356335266531685
2,CSS,LLM_Negative,0.009873945903362876,-6.0532669847605954e-05,-0.0026705581914977772,6.053266984760671e-05,0.7701004295008557,0.8638955442868184,0.016930349772390052
2,TypeScript,LLM_Negative,0.0,0.0,0.0,0.0,,,
2,SCSS,LLM_Negative,0.0,0.0,0.0,0.0,,,
2,JavaScript,Not Mention,0.16176838887935074,0.0010020356795884741,-0.1663761384983069,-0.0025824970752672807,0.0013751973936176872,0.17110451145581576,0.1540459351285155
2,HTML,Not Mention,0.011473607388620593,0.0002560218377712823,-0.01796072200019561,-0.0007364118683759866,0.11977274691752582,0.08214039027061756,0.10490015448524082
2,CSS,Not Mention,0.015577583471487525,0.00013328497833366617,-0.028882556249170008,-0.0004248538496859325,0.002164042143275574,0.21411855476018876,0.147847665327823
2,TypeScript,Not Mention,-0.018668451806446284,0.0005813773624155683,0.027497964219993606,0.0021124980266856684,0.039651608836489646,2.255379568937651e-05,0.7103558608698625
2,SCSS,Not Mention,-0.00034228152705372184,2.615760082813153e-05,0.00521476261627743,-0.0002933322660555705,0.00579254817318726,2.8942590377947662e-05,0.11818459866656061
