cluster,language,policy_group,intercept,trend_before,level_change,slope_change,p_level,p_slope,r_squared
0,TypeScript,LLM_Positive,0.02763899445002959,7.010548515788927e-05,-0.025513198673789202,0.0010142009590636395,0.6309197312716046,0.5963633323231523,0.0033350567423628963
0,JavaScript,LLM_Positive,0.0014985007492510712,0.0001314474341448365,0.01814520475936499,-4.337513233262146e-05,0.46854098799796806,0.9616263982521045,0.03476490854116443
0,Python,LLM_Positive,0.01798201198801193,0.00038119713838865574,0.03761990230964719,0.00811691844729309,0.609626753067424,0.002721293970654716,0.3013020559963858
0,C++,LLM_Positive,1.2003091312088677e-17,-2.2304685217884313e-19,-0.0030220668424158336,0.000413094558353811,0.35696752605800997,0.0006486842245136235,0.1799127710598616
0,C,LLM_Positive,5.517629448981384e-18,-1.075455174915134e-19,-0.0014422209868313472,0.00012437271576333067,0.3674360052004766,0.03251395373267483,0.060031853767493204
0,TypeScript,LLM_Negative,0.042752190498661385,-0.0003146514228691442,-0.016245798141119268,0.0022039895245337827,0.7063400488704424,0.20617700275734832,0.01601165106868696
0,JavaScript,LLM_Negative,0.02733074716904169,-2.6123125820779543e-05,-0.023569017050849586,2.612312582078686e-05,0.6203050337204248,0.9891391611511493,0.0062625288519179145
0,Python,LLM_Negative,0.07005307441380132,-0.0001373729519234929,0.02408753066325593,-0.0010772007322882428,0.738213567793911,0.7110956762523248,0.001971424964348434
0,C++,LLM_Negative,0.02715195678333336,-0.00023082261019587613,0.006086499084872767,0.00023082261019587941,0.8292730509464542,0.8394024823055396,0.014703523315908407
0,C,LLM_Negative,0.03955936017376649,-0.00015749326165830993,-0.01688033049497,0.0001574932616583179,0.6964880496970378,0.9281230416496387,0.011532016600761308
0,TypeScript,Neutral,0.0150239715319402,0.0015585084193946539,-0.038935014423420414,-0.0020382694267814753,0.55362337645315,0.40008101829665565,0.07989460044472207
0,JavaScript,Neutral,0.061260644693527336,0.0005869118406232844,-0.08455607048182216,-0.00041330634426983075,0.13671111890487717,0.8429267115012298,0.02706062550435362
0,Python,Neutral,0.06131153179279965,0.0007744120909871742,-0.14368182791479955,-0.00017867227520841454,0.023502696201102857,0.9385615045468235,0.05668137006160234
0,C++,Neutral,0.05226672217086185,-0.00021834806434637436,-0.02014355868200117,0.0003262439245985502,0.6183951986618932,0.8265638531100667,0.01823798401928567
0,C,Neutral,-0.0037248011479041206,0.00017556987365186045,-0.008223137577144844,-3.333082240650915e-05,0.4827207613719908,0.9383803653372641,0.03444197600371912
1,JavaScript,LLM_Positive,0.08848820311035185,0.0015649865376784577,-0.16596388717750093,-0.004862324275760965,0.03141610037054433,0.08654640354764703,0.11759686925196688
1,HTML,LLM_Positive,0.035774674219769834,0.0002621403364259637,-0.04464071302506923,-0.0004939780492797541,0.33964542874518133,0.7741970656830827,0.015317485217083093
1,CSS,LLM_Positive,0.0003677200912674887,4.472270889236965e-05,-0.006136949538383197,-4.472270889236941e-05,0.4489673550595119,0.8809626106610053,0.007711352509684577
1,TypeScript,LLM_Positive,-0.09675416457928478,0.0036468342400425564,0.22809312867233347,-0.014352072282153691,0.0036965950529080894,1.290194972142059e-06,0.3807825353167844
1,Python,LLM_Positive,0.026551867820098538,0.00012160541173599095,-0.12150989606378568,0.017951338542890584,0.0021258686021110944,9.73119182521393e-26,0.6667728541086029
1,JavaScript,Neutral,0.10719909965251366,0.0014517004027209239,-0.19283025870554218,-0.004306295096499559,0.01589884424225528,0.1504606663599202,0.11407516567937426
1,HTML,Neutral,0.004146578098864949,0.00023972308014874805,-0.0286850771869353,-0.0005365567441798494,0.14338314191487442,0.46602156462519984,0.042416456928040414
1,CSS,Neutral,0.006802630304659683,8.822283932882481e-05,-0.012790080280168405,-0.0003264916951499292,0.4392012521790285,0.5995446066948413,0.01421951182445802
1,TypeScript,Neutral,-0.031094677360079644,0.0015362939827364924,0.0153110530098969,-0.001606403077895461,0.7532366506410482,0.3810483917563592,0.2734194225660699
1,Python,Neutral,-0.03912366557316449,0.0009622041532249472,0.08988566857633305,-0.0030255558800590223,0.011551204965613944,0.023630938138703247,0.2970203039419521
2,C,LLM_Positive,0.0008838702112189904,0.00011020192137687154,-0.013372275091415402,-9.500866408157343e-05,0.3223440365799206,0.8481015002579457,0.01307492142175637
2,C++,LLM_Positive,-0.0014838708351254328,8.969313462715789e-05,-0.0009061626121211015,-0.00018840909170831486,0.9358014276007023,0.6488135562959542,0.009435276930530923
2,Python,LLM_Positive,0.1713006361911416,-0.00020933822714686912,-0.07538704646990912,0.0023810004568469672,0.4152616552815033,0.483876105342782,0.008649751398401517
2,HTML,LLM_Positive,0.02074192349301849,0.0002331496705612978,-0.03665438002280372,5.9278973925215226e-05,0.3612499841394413,0.9679218564801408,0.008223954500462316
2,JavaScript,LLM_Positive,-0.026046589246257943,0.0008985048868870305,0.16412091606817653,-0.005953366795498943,0.0015702540918918428,0.00180488070132244,0.1738629487558262
2,C,LLM_Negative,0.24612506341130802,-0.00032823541193478947,-0.08104892879471598,0.003478641551839237,0.5204058232853803,0.4635032376742121,0.00595745292815919
2,C++,LLM_Negative,0.06106209837729374,-0.0005472499316857639,0.004060643493312111,0.0005472499316857661,0.9126633354724152,0.6944626162556435,0.038882477241790836
2,Python,LLM_Negative,0.04064356052426103,0.00070959695836458,-0.08327380937097555,0.002484362633195512,0.3118466949464858,0.42227464470983933,0.01744828845197821
2,HTML,LLM_Negative,0.01480392357165473,0.0001455155732369354,-0.03212027678685003,-0.00014551557323693316,0.3647793797501363,0.9129834577660432,0.012761614053943049
